roll,pitch,yaw,x,y,z
-1.68406,-0.0225845,-1.49554,0.0613065,0.0106405,-0.22107
-1.69433,-0.0245675,-1.49294,0.0617737,0.00726231,-0.204096
-1.69401,-0.014245,-1.49598,0.0617409,0.0143837,-0.194823
-1.6831,-0.0219653,-1.49526,0.0638173,0.0103096,-0.222216
-1.70129,-0.0462425,-1.47837,0.0511057,-0.03391,-0.20355
-1.69807,-0.0270794,-1.49061,0.060048,0.00035847,-0.196019
-1.68853,-0.020803,-1.48868,0.056879,-0.00767779,-0.207817
-1.69338,-0.0202352,-1.49632,0.06015,0.0133028,-0.19858
-1.69744,-0.0524224,-1.47787,0.0476818,-0.0318382,-0.211854
-1.703,-0.0203052,-1.48881,0.054974,-0.00686358,-0.174156
-1.68748,-0.024958,-1.48676,0.0572353,-0.0107245,-0.215418
-1.69415,-0.0215566,-1.50299,0.0667152,0.0361623,-0.191419
-1.68271,-0.0222496,-1.49515,0.0605607,0.0123312,-0.227807
-1.69635,-0.0202402,-1.49088,0.0597698,-0.000810056,-0.194523
-1.68671,-0.0257948,-1.49178,0.0614063,0.00344936,-0.225858
-1.7038,-0.031488,-1.50065,0.063927,0.0324529,-0.186024
-1.69123,-0.0262043,-1.48558,0.0562787,-0.0087179,-0.206134
-1.68839,-0.0172537,-1.49273,0.0595448,0.00865103,-0.213186
-1.69426,-0.0607473,-1.47652,0.0533256,-0.0384467,-0.229303
-1.69175,-0.0433991,-1.47526,0.0492961,-0.0375464,-0.220356
-1.69009,-0.0198741,-1.4897,0.0606071,-0.00370837,-0.204434
-1.69397,-0.00631889,-1.4991,0.063285,0.0177339,-0.188122
-1.68957,-0.027109,-1.48671,0.0590949,-0.00861876,-0.218967
-1.68835,-0.031067,-1.4826,0.0535698,-0.0206721,-0.223599
-1.70826,-0.0208162,-1.48543,0.0559279,-0.0144222,-0.163313
-1.70056,-0.0345095,-1.50114,0.065194,0.0318022,-0.193843
-1.68143,-0.0180731,-1.49603,0.0637716,0.0147844,-0.226462
-1.69134,-0.0429753,-1.48515,0.0558269,-0.0142703,-0.226377
-1.6925,-0.025661,-1.50036,0.0647174,0.0262398,-0.197208
-1.67869,-0.0264075,-1.49114,0.0630669,0.00239294,-0.241941
-1.69334,-0.0309581,-1.48114,0.0515178,-0.0254318,-0.213608
-1.69507,-0.0605101,-1.47556,0.04515,-0.0383744,-0.231617
-1.68882,-0.0144317,-1.49723,0.0592855,0.0163565,-0.206044
-1.6844,-0.0248395,-1.49418,0.0602109,0.00372784,-0.211509
-1.69503,-0.0137063,-1.49617,0.0596762,0.0148014,-0.191557
-1.69504,-0.0196695,-1.49238,0.0603705,0.00647613,-0.198292
-1.68792,-0.0283162,-1.49684,0.06396,0.0118006,-0.203106
-1.7053,0.0239022,-1.50934,0.068567,0.0473426,-0.134403
-1.67694,-0.00945007,-1.49543,0.0685355,0.0153986,-0.222518
-1.70321,-0.0209888,-1.49187,0.056515,0.00587728,-0.172044
-1.71616,-0.0189497,-1.49046,0.0554905,-0.0019975,-0.144022
-1.68344,-0.0190231,-1.49064,0.0561982,-0.00149231,-0.221529
-1.70076,-0.0287312,-1.49669,0.0568336,0.0197091,-0.183259
-1.69324,-0.0311279,-1.49426,0.0630179,0.0101347,-0.200465
-1.7012,-0.0335946,-1.49741,0.0605472,0.0201872,-0.191079
-1.68677,-0.017778,-1.49608,0.0637083,0.0103394,-0.213035
-1.6774,-0.0384864,-1.48628,0.0555131,-0.013204,-0.263824
-1.6997,-0.0224496,-1.48867,0.0557941,-0.00562906,-0.183629
-1.68645,-0.018184,-1.49628,0.062492,0.0137755,-0.212273
-1.69058,-0.0236649,-1.49367,0.0595464,0.0066796,-0.206556
